Scheduled_Arrival_(2019),Trip_Count_(2019),Dependency_(2019),Load_Factor_(2019)
CUN,12,91.7,91.7
ANU,12,41.7,93.6
AUA,191,65.4,93
BDA,11,54.5,91.3
BGI,75,73.3,92.5
BZE,12,25,85.2
CUN,261,52.9,92.3
CUR,14,71.4,90.4
ELH,14,92.9,74.2
FPO,12,66.7,93.1
GCM,123,57.7,88.8
GGT,12,58.3,95
LIR,24,54.2,83.3
MBJ,306,51.6,92.4
MEX,80,36.3,92.7
MHH,14,85.7,82.7
NAS,286,60.5,90.2
PLS,124,60.5,90.9
POP,23,52.2,70.9
PUJ,250,59.2,65.8
SDQ,12,8.3,90.8
SJD,12,41.7,95.4
SJO,76,55.3,92.8
SKB,12,58.3,81.7
SXM,160,51.9,72.6
UVF,76,60.5,87.7
BDA,87,86.2,87.7
NAS,25,72,92.9
AGU,182,56,81.2
AUA,14,71.4,85.3
BJX,256,66.8,71.7
BOG,88,27.3,87.2
BZE,94,51.1,82.9
CUN,546,52.7,91.7
CUU,271,76.4,72.7
CZM,102,49,91
DGO,84,57.1,81.2
EZE,91,38.5,77.5
GCM,78,57.7,88.9
GDL,273,37.7,83.2
GRU,92,20.7,87.3
GUA,113,22.1,88.4
LIM,90,40,91.9
LIR,12,25,91.5
MBJ,101,47.5,89.5
MEX,446,43.7,90.2
MLM,91,63.7,82.9
MTY,447,68.7,72
MZT,14,28.6,84.7
NAS,154,58.4,87
OAX,92,65.2,79.1
PLS,23,56.5,87.2
PUJ,13,38.5,71
PVR,322,47.5,83.7
QRO,267,74.9,70.4
RTB,12,58.3,82.8
SAL,75,28,89.6
SAP,49,55.1,76.6
SCL,92,34.8,79.2
SDQ,11,45.5,77
SJD,361,62.3,92
SJO,101,26.7,88.1
SKB,12,50,75.2
SLP,265,63.4,66
TGU,38,52.6,59.4
TRC,180,71.7,78.4
ZCL,68,77.9,81.6
ANU,92,75,92.8
BDA,92,60.9,76.6
CUN,92,83.7,94.7
EZE,92,45.7,76.6
GRU,92,62,89.4
PUJ,87,88.5,68.1
SKB,5,80,71.6
BZE,13,30.8,92.8
EZE,39,64.1,75.8
GRU,53,64.2,95
MEX,90,37.8,87.7
MZT,12,91.7,72.3
PVR,92,70.7,96.3
SJD,92,54.3,96.5
AUA,13,61.5,78.6
NAS,14,78.6,86.6
ANU,92,67.4,93.8
AUA,183,59.6,88.9
BAQ,90,75.6,88.4
BDA,92,41.3,78
BGI,257,66.5,84.4
BOG,275,55.6,91.6
BON,53,60.4,76.3
BSB,68,44.1,83.8
BZE,184,73.9,77.5
CAP,90,36.7,89.3
CLO,92,40.2,87.5
CMW,91,52.7,80.9
COR,48,56.3,81.7
CTG,92,73.9,88.7
CUN,431,58.2,92
CUR,184,55.4,78.6
ELH,80,75,85.1
EZE,171,41.5,93.5
FDF,86,80.2,76.5
FPO,179,66.5,86.1
GCM,173,64.7,85
GEO,92,40.2,88.3
GGT,164,79.3,78.1
GIG,92,38,91.5
GND,90,57.8,85.8
GRU,184,37,93.1
GUA,271,53.5,86.1
GYE,180,33.9,86.2
HAV,515,50.5,80.6
HOG,92,35.9,81.7
KIN,266,47.7,84.4
LIM,184,33.7,89.3
LIR,158,73.4,85.1
MAO,88,51.1,80.4
MBJ,248,58.1,86.2
MDE,183,54.6,92.6
MEX,349,61.6,89.8
MGA,159,39.6,88.8
MHH,92,88,77.3
MID,90,87.8,87.8
MTY,92,70.7,77.3
MVD,91,58.2,85.4
NAS,643,74.3,84.9
PAP,163,50.3,88.3
PEI,37,56.8,90.1
PLS,274,67.9,83.1
POP,163,69.3,62.8
POS,184,56.5,85.8
PTP,12,75,78.9
PTY,184,53.8,81.8
PUJ,260,60,83.6
RTB,27,77.8,75.7
SAL,167,37.7,87.4
SAP,181,48.1,80.5
SCL,92,38,81.1
SCU,92,35.9,77.5
SDQ,403,52.9,87.9
SJO,264,59.5,85.2
SKB,147,62.6,64
SNU,179,54.7,71
STI,167,44.3,83.5
SVD,14,57.1,96.5
SXM,92,66.3,84.8
TGU,167,74.3,76.1
UIO,181,29.8,91.3
UVF,166,69.9,75.9
VRA,92,75,82.4
VVI,57,35.1,88.7
CUN,88,69.3,94.3
GCM,50,90,67.3
GUA,13,46.2,89.7
MBJ,14,71.4,94.8
NAS,14,78.6,78
PLS,37,75.7,57.5
PUJ,14,78.6,71.6
SJD,27,63,95.8
AUA,86,79.1,95.3
BDA,92,73.9,85.5
CUN,181,68,94.2
GCM,11,90.9,93.3
MBJ,170,64.1,93
NAS,110,79.1,91.7
PLS,24,45.8,86.4
PUJ,180,86.7,68.5
SDQ,12,33.3,84.6
SXM,77,66.2,67.6
CUN,90,44.4,88.1
GDL,91,48.4,85.1
HMO,91,46.2,66.2
MEX,91,52.7,86.5
MZT,92,68.5,79.7
PVR,95,50.5,89.9
SJD,258,47.3,92.4
SJO,12,33.3,92.7
ZIH,12,41.7,79.1
,22037,57.5,85.9
